State,Number of CoCs,"Overall Homeless, 2017","Sheltered ES Homeless, 2017","Sheltered TH Homeless, 2017","Sheltered SH Homeless, 2017","Sheltered Total Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered ES Homeless Individuals, 2017","Sheltered TH Homeless Individuals, 2017","Sheltered SH Homeless Individuals, 2017","Sheltered Total Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered ES Homeless People in Families, 2017","Sheltered TH Homeless People in Families, 2017","Sheltered Total Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Homeless Family Households, 2017","Sheltered ES Homeless Family Households, 2017","Sheltered TH Homeless Family Households, 2017","Sheltered Total Homeless Family Households, 2017","Unsheltered Homeless Family Households, 2017","Chronically Homeless, 2017","Sheltered ES Chronically Homeless, 2017","Sheltered SH Chronically Homeless, 2017","Sheltered Total Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered ES Chronically Homeless Individuals, 2017","Sheltered SH Chronically Homeless Individuals, 2017","Sheltered Total Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered ES Chronically Homeless People in Families, 2017","Sheltered Total Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered ES Homeless Veterans, 2017","Sheltered TH Homeless Veterans, 2017","Sheltered SH Homeless Veterans, 2017","Sheltered Total Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2017","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2017","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Youth Under 18, 2017","Sheltered ES Homeless Unaccompanied Youth Under 18, 2017","Sheltered TH Homeless Unaccompanied Youth Under 18, 2017","Sheltered SH Homeless Unaccompanied Youth Under 18, 2017","Sheltered Total Homeless Unaccompanied Youth Under 18, 2017","Unsheltered Homeless Unaccompanied Youth Under 18, 2017","Homeless Unaccompanied Youth Age 18-24, 2017","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2017","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2017","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2017","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2017","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2017","Homeless Parenting Youth (Under 25), 2017","Sheltered ES Homeless Parenting Youth (Under 25), 2017","Sheltered TH Homeless Parenting Youth (Under 25), 2017","Sheltered Total Homeless Parenting Youth (Under 25), 2017","Unsheltered Homeless Parenting Youth (Under 25), 2017","Homeless Parenting Youth Under 18, 2017","Sheltered ES Homeless Parenting Youth Under 18, 2017","Sheltered TH Homeless Parenting Youth Under 18, 2017","Sheltered Total Homeless Parenting Youth Under 18, 2017","Unsheltered Homeless Parenting Youth Under 18, 2017","Homeless Parenting Youth Age 18-24, 2017","Sheltered ES Homeless Parenting Youth Age 18-24, 2017","Sheltered TH Homeless Parenting Youth Age 18-24, 2017","Sheltered Total Homeless Parenting Youth Age 18-24, 2017","Unsheltered Homeless Parenting Youth Age 18-24, 2017","Homeless Children of Parenting Youth, 2017","Sheltered ES Homeless Children of Parenting Youth, 2017","Sheltered TH Homeless Children of Parenting Youth, 2017","Sheltered Total Homeless Children of Parenting Youth, 2017","Unsheltered Homeless Children of Parenting Youth, 2017"
AK,2,"1,845","1,017",534,0,"1,551",294,"1,354",792,268,0,"1,060",294,491,225,266,491,0,165,80,85,165,0,257,158,0,158,99,216,117,0,117,99,41,41,41,0,124,70,25,0,95,29,162,96,46,0,142,20,15,13,2,0,15,0,147,83,44,0,127,20,22,10,12,22,0,0,0,0,0,0,22,10,12,22,0,39,20,19,39,0
AL,8,"3,793","1,644",978,34,"2,656","1,137","2,985","1,163",753,34,"1,950","1,035",808,481,225,706,102,262,153,76,229,33,363,167,4,171,192,344,148,4,152,192,19,19,19,0,269,133,67,2,202,67,294,138,42,2,182,112,36,34,0,0,34,2,258,104,42,2,148,110,29,6,20,26,3,6,0,6,6,0,23,6,14,20,3,39,11,24,35,4
AR,6,"2,467",915,358,0,"1,273","1,194","2,068",677,260,0,937,"1,131",399,238,98,336,63,121,63,37,100,21,473,147,0,147,326,450,138,0,138,312,23,9,9,14,239,85,45,0,130,109,208,59,28,0,87,121,17,15,0,0,15,2,191,44,28,0,72,119,10,8,2,10,0,0,0,0,0,0,10,8,2,10,0,13,11,2,13,0
AZ,3,"8,947","3,841","1,904",36,"5,781","3,166","6,488","2,541",846,36,"3,423","3,065","2,459","1,300","1,058","2,358",101,689,357,307,664,25,"1,552",529,17,546,"1,006","1,463",475,17,492,971,89,54,54,35,970,268,372,1,641,329,578,251,93,1,345,233,55,45,0,0,45,10,523,206,93,1,300,223,81,37,44,81,0,0,0,0,0,0,81,37,44,81,0,112,55,57,112,0
CA,43,"131,532","26,854","15,656",126,"42,636","88,896","110,260","16,157","8,739",126,"25,022","85,238","21,272","10,697","6,917","17,614","3,658","7,083","3,484","2,352","5,836","1,247","37,033","5,178",57,"5,235","31,798","35,541","4,373",57,"4,430","31,111","1,492",805,805,687,"11,436","1,568","2,210",37,"3,815","7,621","12,962","1,106","1,601",2,"2,709","10,253","1,495",161,37,0,198,"1,297","11,467",945,"1,564",2,"2,511","8,956",786,258,398,656,130,16,10,1,11,5,770,248,397,645,125,912,289,493,782,130
CO,3,"10,940","4,135","2,921",25,"7,081","3,859","7,571","3,398","1,296",25,"4,719","2,852","3,369",737,"1,625","2,362","1,007",993,228,474,702,291,"2,264",952,25,977,"1,287","2,126",889,25,914,"1,212",138,63,63,75,"1,078",370,371,2,743,335,763,277,150,1,428,335,45,5,18,0,23,22,718,272,132,1,405,313,110,17,57,74,36,0,0,0,0,0,110,17,57,74,36,138,28,71,99,39
CT,2,"3,388","2,249",723,0,"2,972",416,"2,208","1,451",345,0,"1,796",412,"1,180",798,378,"1,176",4,392,264,127,391,1,420,273,0,273,147,387,240,0,240,147,33,33,33,0,191,34,143,0,177,14,170,92,14,0,106,64,13,11,0,0,11,2,157,81,14,0,95,62,64,44,20,64,0,0,0,0,0,0,64,44,20,64,0,89,57,32,89,0
DC,1,"7,473","5,363","1,213",0,"6,576",897,"3,583","1,992",694,0,"2,686",897,"3,890","3,371",519,"3,890",0,"1,166",975,191,"1,166",0,"1,881","1,343",0,"1,343",538,"1,470",932,0,932,538,411,411,411,0,285,81,169,0,250,35,228,88,106,0,194,34,5,4,1,0,5,0,223,84,105,0,189,34,397,327,70,397,0,0,0,0,0,0,397,327,70,397,0,482,398,84,482,0
DE,1,994,564,372,0,936,58,615,355,208,0,563,52,379,209,164,373,6,129,67,60,127,2,127,102,0,102,25,123,98,0,98,25,4,4,4,0,91,36,49,0,85,6,45,24,19,0,43,2,2,0,2,0,2,0,43,24,17,0,41,2,20,8,12,20,0,2,0,2,2,0,18,8,10,18,0,25,12,13,25,0
FL,27,"32,190","10,732","6,266",113,"17,111","15,079","22,768","6,617","4,201",113,"10,931","11,837","9,422","4,115","2,065","6,180","3,242","2,846","1,264",660,"1,924",922,"5,615","1,175",66,"1,241","4,374","4,951","1,061",66,"1,127","3,824",664,114,114,550,"2,817",720,"1,066",35,"1,821",996,"2,019",633,440,2,"1,075",944,421,228,54,0,282,139,"1,598",405,386,2,793,805,328,165,110,275,53,16,0,13,13,3,312,165,97,262,50,483,243,167,410,73
GA,9,"10,174","3,821","2,830",0,"6,651","3,523","7,422","2,298","1,804",0,"4,102","3,320","2,752","1,523","1,026","2,549",203,"1,019",605,334,939,80,"1,028",462,0,462,566,963,405,0,405,558,65,57,57,8,712,177,289,0,466,246,526,199,129,0,328,198,28,19,5,0,24,4,498,180,124,0,304,194,75,23,39,62,13,0,0,0,0,0,75,23,39,62,13,139,44,77,121,18
GU,1,852,87,0,0,87,765,215,17,0,0,17,198,637,70,0,70,567,117,17,0,17,100,64,0,0,0,64,20,0,0,0,20,44,0,0,44,24,4,0,0,4,20,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,7,1,0,1,6,0,0,0,0,0,7,1,0,1,6,14,3,0,3,11
HI,2,"7,220","1,341","2,054",25,"3,420","3,800","4,535",746,487,25,"1,258","3,277","2,685",595,"1,567","2,162",523,666,159,380,539,127,"1,800",195,12,207,"1,593","1,588",152,12,164,"1,424",212,43,43,169,615,106,128,3,237,378,319,37,19,0,56,263,26,1,1,0,2,24,293,36,18,0,54,239,71,13,47,60,11,0,0,0,0,0,71,13,47,60,11,68,12,44,56,12
IA,3,"2,756","1,373","1,279",0,"2,652",104,"1,500",957,439,0,"1,396",104,"1,256",416,840,"1,256",0,382,129,253,382,0,199,143,0,143,56,170,114,0,114,56,29,29,29,0,171,77,76,0,153,18,140,87,49,0,136,4,12,9,3,0,12,0,128,78,46,0,124,4,73,17,56,73,0,0,0,0,0,0,73,17,56,73,0,107,27,80,107,0
ID,2,"2,037","1,003",395,0,"1,398",639,"1,309",673,184,0,857,452,728,330,211,541,187,211,103,64,167,44,436,302,0,302,134,391,257,0,257,134,45,45,45,0,228,73,86,0,159,69,113,69,20,0,89,24,7,7,0,0,7,0,106,62,20,0,82,24,17,9,6,15,2,0,0,0,0,0,17,9,6,15,2,24,9,10,19,5
IL,20,"10,798","4,160","4,306",75,"8,541","2,257","6,894","3,067","1,617",75,"4,759","2,135","3,904","1,093","2,689","3,782",122,"1,228",353,828,"1,181",47,"1,475",665,52,717,758,"1,355",592,52,644,711,120,73,73,47,864,202,357,16,575,289,730,296,296,0,592,138,49,35,11,0,46,3,681,261,285,0,546,135,290,62,214,276,14,1,0,1,1,0,289,62,213,275,14,406,93,296,389,17
IN,2,"5,438","3,368","1,457",44,"4,869",569,"3,623","2,232",806,44,"3,082",541,"1,815","1,136",651,"1,787",28,576,363,204,567,9,537,461,22,483,54,486,410,22,432,54,51,51,51,0,615,186,358,25,569,46,294,197,52,3,252,42,30,25,4,0,29,1,264,172,48,3,223,41,70,37,32,69,1,0,0,0,0,0,70,37,32,69,1,93,47,45,92,1
KS,5,"2,287","1,277",659,6,"1,942",345,"1,423",830,247,6,"1,083",340,864,447,412,859,5,263,140,122,262,1,341,251,0,251,90,252,166,0,166,86,89,85,85,4,217,106,70,1,177,40,103,47,32,0,79,24,6,5,1,0,6,0,97,42,31,0,73,24,33,16,16,32,1,0,0,0,0,0,33,16,16,32,1,60,26,30,56,4
KY,3,"4,025","2,174","1,122",2,"3,298",727,"3,032","1,607",777,2,"2,386",646,993,567,345,912,81,334,191,118,309,25,405,265,2,267,138,383,250,2,252,131,22,15,15,7,489,156,289,0,445,44,253,145,49,0,194,59,18,14,0,0,14,4,235,131,49,0,180,55,62,29,27,56,6,1,0,1,1,0,61,29,26,55,6,89,44,39,83,6
LA,8,"3,305","1,326",967,37,"2,330",975,"2,559",891,719,37,"1,647",912,746,435,248,683,63,231,128,83,211,20,618,163,20,183,435,609,154,20,174,435,9,9,9,0,383,70,240,19,329,54,236,125,59,2,186,50,46,36,9,0,45,1,190,89,50,2,141,49,31,19,9,28,3,0,0,0,0,0,31,19,9,28,3,55,34,14,48,7
MA,15,"17,565","14,301","2,196",77,"16,574",991,"6,267","3,850","1,361",77,"5,288",979,"11,298","10,451",835,"11,286",12,"3,430","3,123",303,"3,426",4,"1,914","1,520",35,"1,555",359,"1,238",850,35,885,353,676,670,670,6,853,176,613,19,808,45,469,310,96,1,407,62,57,46,8,0,54,3,412,264,88,1,353,59,572,498,74,572,0,0,0,0,0,0,572,498,74,572,0,715,620,95,715,0
MD,16,"7,247","3,557","1,877",77,"5,511","1,736","5,077","2,337","1,095",77,"3,509","1,568","2,170","1,220",782,"2,002",168,681,379,256,635,46,"1,520",773,43,816,704,"1,436",703,43,746,690,84,70,70,14,536,185,249,6,440,96,272,127,50,2,179,93,11,6,1,0,7,4,261,121,49,2,172,89,121,65,49,114,7,0,0,0,0,0,121,65,49,114,7,176,96,70,166,10
