Year,State Name,Indicator,Data Value
2017,Alaska,Psychostimulants with abuse potential (T43.6),52
2017,Alaska,Natural & semi-synthetic opioids (T40.2),30
2017,Alaska,Number of Drug Overdose Deaths,117
2017,Alaska,Cocaine (T40.5),16
2017,Alaska,Heroin (T40.1),43
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",78
2017,Alaska,Number of Deaths,"4,325"
2017,Alaska,Methadone (T40.3),
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",35
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",44
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",12
2017,Alaska,Percent with drugs specified,97.43589744
2017,Alaska,Number of Drug Overdose Deaths,137
2017,Alaska,Psychostimulants with abuse potential (T43.6),64
2017,Alaska,Natural & semi-synthetic opioids (T40.2),44
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68
2017,Alaska,Number of Deaths,"4,234"
2017,Alaska,Heroin (T40.1),46
2017,Alaska,Percent with drugs specified,97.08029197
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",29
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",99
2017,Alaska,Cocaine (T40.5),21
2017,Alaska,Methadone (T40.3),
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48
2017,Alaska,Number of Deaths,"4,279"
2017,Alaska,Methadone (T40.3),
2017,Alaska,Cocaine (T40.5),18
2017,Alaska,Natural & semi-synthetic opioids (T40.2),46
2017,Alaska,Heroin (T40.1),36
2017,Alaska,Psychostimulants with abuse potential (T43.6),64
2017,Alaska,Number of Drug Overdose Deaths,141
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",100
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",50
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",37
2017,Alaska,Percent with drugs specified,97.16312057
2017,Alaska,Natural & semi-synthetic opioids (T40.2),36
2017,Alaska,Number of Drug Overdose Deaths,124
2017,Alaska,Heroin (T40.1),49
2017,Alaska,Number of Deaths,"4,347"
2017,Alaska,Cocaine (T40.5),18
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50
2017,Alaska,Percent with drugs specified,98.38709677
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",11
2017,Alaska,Psychostimulants with abuse potential (T43.6),54
2017,Alaska,Methadone (T40.3),
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",90
2017,Alaska,Natural & semi-synthetic opioids (T40.2),40
2017,Alaska,Percent with drugs specified,99.20634921
2017,Alaska,Heroin (T40.1),50
2017,Alaska,Cocaine (T40.5),15
2017,Alaska,Number of Drug Overdose Deaths,126
2017,Alaska,Methadone (T40.3),11
2017,Alaska,Number of Deaths,"4,374"
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",10
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",54
2017,Alaska,Psychostimulants with abuse potential (T43.6),55
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",93
2017,Alaska,Psychostimulants with abuse potential (T43.6),59
2017,Alaska,Number of Drug Overdose Deaths,128
2017,Alaska,Methadone (T40.3),
2017,Alaska,Natural & semi-synthetic opioids (T40.2),40
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",91
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",63
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44
2017,Alaska,Cocaine (T40.5),20
2017,Alaska,Heroin (T40.1),44
2017,Alaska,Percent with drugs specified,97.65625
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",27
2017,Alaska,Number of Deaths,"4,236"
2017,Alaska,Natural & semi-synthetic opioids (T40.2),35
2017,Alaska,Psychostimulants with abuse potential (T43.6),54
2017,Alaska,Percent with drugs specified,96.72131148
2017,Alaska,Heroin (T40.1),42
2017,Alaska,Number of Drug Overdose Deaths,122
2017,Alaska,Methadone (T40.3),
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",24
2017,Alaska,Cocaine (T40.5),20
2017,Alaska,Number of Deaths,"4,276"
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",85
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57
2017,Alaska,Number of Drug Overdose Deaths,126
2017,Alaska,Number of Deaths,"4,359"
2017,Alaska,Cocaine (T40.5),19
2017,Alaska,Psychostimulants with abuse potential (T43.6),55
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",49
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",11
2017,Alaska,Methadone (T40.3),
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",87
2017,Alaska,Percent with drugs specified,98.41269841
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",41
2017,Alaska,Natural & semi-synthetic opioids (T40.2),35
2017,Alaska,Heroin (T40.1),47
2017,Alaska,Natural & semi-synthetic opioids (T40.2),32
2017,Alaska,Methadone (T40.3),10
2017,Alaska,Cocaine (T40.5),18
2017,Alaska,Number of Drug Overdose Deaths,120
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",21
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",39
2017,Alaska,Number of Deaths,"4,277"
2017,Alaska,Psychostimulants with abuse potential (T43.6),52
2017,Alaska,Percent with drugs specified,96.66666667
2017,Alaska,Heroin (T40.1),40
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",81
2017,Alaska,Natural & semi-synthetic opioids (T40.2),43
2017,Alaska,Number of Drug Overdose Deaths,138
2017,Alaska,Number of Deaths,"4,308"
2017,Alaska,Methadone (T40.3),
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47
2017,Alaska,Psychostimulants with abuse potential (T43.6),67
2017,Alaska,Heroin (T40.1),38
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",97
2017,Alaska,Percent with drugs specified,97.10144928
2017,Alaska,Cocaine (T40.5),17
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",70
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",33
2017,Alaska,Natural & semi-synthetic opioids (T40.2),45
2017,Alaska,Percent with drugs specified,97.22222222
2017,Alaska,Number of Drug Overdose Deaths,144
2017,Alaska,Psychostimulants with abuse potential (T43.6),70
2017,Alaska,Methadone (T40.3),
